사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-08,1호선,1,서울역,696,14,"8,106","5,956","10,320","32,911","28,966","78,449","51,980","159,824","36,077","110,839","35,285","54,349","44,050","46,013","52,773","50,592","53,884","49,553","45,740","45,111","59,706","47,024","65,484","47,066","110,124","55,638","163,421","59,707","82,628","43,126","54,857","28,348","54,009","22,783","38,919","16,665","14,082","10,223",22,910,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,1호선,10,동묘앞,100,2,"2,908",792,"2,969","3,639","4,948","7,650","7,065","17,422","6,714","13,808","8,047","14,506","11,662","18,249","15,546","19,216","19,284","19,850","20,490","20,231","20,744","18,276","20,732","15,008","20,717","11,920","19,924","9,424","9,783","5,869","5,218","3,970","4,106","3,600","2,749","3,811","1,036","2,699",4,"1,273",0,1,0,0,0,0,2020-09-03 12:26:43
2020-08,1호선,2,시청,24,0,"1,603","3,407","2,801","16,891","5,484","53,421","6,812","135,808","7,223","62,854","8,011","26,374","11,863","25,450","13,146","22,958","16,625","23,251","22,142","18,039","28,757","14,921","33,544","12,359","58,225","12,952","114,019","12,570","42,315","6,716","31,818","3,939","29,603","3,542","18,757","2,333","6,401","1,547",4,50,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,1호선,3,종각,63,3,"3,059","3,913","3,171","22,364","4,926","85,287","7,697","198,508","9,786","115,700","13,550","51,046","21,293","43,221","27,052","39,830","34,294","41,194","39,647","34,271","50,150","29,497","57,141","28,510","111,825","30,548","171,072","36,421","75,238","20,782","59,724","8,749","63,914","5,547","47,190","3,542","17,848","2,297",13,115,0,0,1,1,0,0,2020-09-03 12:26:43
2020-08,1호선,4,종로3가,144,19,"3,547","2,849","3,356","11,676","5,326","24,423","7,030","60,299","10,266","67,199","18,754","55,714","28,500","52,096","36,254","50,142","43,102","51,008","42,807","44,524","48,622","38,433","54,479","31,108","63,154","27,918","85,515","28,974","51,539","16,175","36,472","7,165","38,561","5,203","29,612","3,760","10,504","3,051",20,580,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,1호선,5,종로5가,34,0,"1,613","3,234","2,338","13,141","4,054","33,354","6,603","89,375","9,727","55,825","15,757","41,803","23,174","38,562","27,899","37,223","31,707","35,320","36,662","34,385","40,989","31,209","45,708","25,406","62,745","22,388","86,537","20,025","42,819","12,195","24,839","5,203","19,993","3,825","15,713","2,986","5,521","2,102",8,205,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,1호선,6,동대문,408,7,"11,140","1,807","7,803","5,728","11,446","9,849","16,146","20,033","15,296","18,511","13,818","17,349","15,100","19,265","17,414","19,707","17,921","19,317","18,809","18,578","19,053","18,488","20,144","16,618","21,034","16,767","20,320","16,623","14,422","17,199","11,071","11,393","9,884","9,790","7,946","9,088","3,485","8,744",34,838,0,0,2,0,0,0,2020-09-03 12:26:43
2020-08,1호선,7,신설동,207,9,"8,294","1,958","7,880","7,277","14,953","20,102","20,268","52,847","14,387","27,614","12,799","16,705","14,852","15,323","15,646","15,139","17,118","15,653","17,138","14,797","17,777","15,692","20,954","16,478","32,404","18,731","49,834","23,748","19,190","16,518","11,819","10,356","11,195","9,151","7,426","8,506","2,668","6,387",18,508,0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,1호선,8,제기동,303,2,"4,238","1,940","7,090","7,416","18,192","16,810","25,353","35,970","18,700","31,758","22,128","30,429","27,509","33,413","30,333","32,110","30,384","32,723","31,556","33,842","34,270","30,838","33,531","25,341","34,453","21,605","33,771","23,013","16,445","15,640","10,002","9,753","7,687","8,284","5,981","7,678","2,247","4,614",12,394,1,1,0,0,0,0,2020-09-03 12:26:43
2020-08,1호선,9,청량리(서울시립대입구),"1,437",6,"10,098","4,219","13,706","13,026","35,182","14,394","42,082","30,482","29,019","28,406","25,781","29,554","30,074","34,889","32,637","34,160","33,580","34,473","34,114","37,986","37,283","37,836","40,399","34,850","40,398","36,095","38,079","43,841","22,610","30,882","16,092","18,531","10,765","15,770","7,706","13,819","3,155","8,374",26,"1,140",0,0,0,0,0,0,2020-09-03 12:26:43
2020-08,2호선,11,시청,21,0,847,"1,371","1,815","13,191","4,042","60,956","6,136","176,638","7,273","74,134","9,838","21,189","14,974","16,963","14,956","17,355","18,303","18,316","22,280","15,608","26,324","14,084","29,142","11,574","65,969","12,834","144,217","12,813","49,175","6,329","30,257","3,513","25,693","2,907","16,075","2,435","4,798","1,910",5,132,1,0,0,0,0,0,2020-09-03 12:26:43
